,term,frequency
1241,häschen,15
1242,gesteckt,15
1243,schlange,15
1244,hühnchen,15
1245,stechen,15
1246,sanft,15
1247,vergaß,15
1248,liebste,15
1249,nest,15
1250,mannes,15
1251,machte,15
1252,schläft,15
1253,einladen,15
1254,ast,15
1255,dannen,15
1256,brücke,15
1257,dienste,15
1258,schicksal,15
1259,lande,15
1260,drohen,15
1261,wandern,15
1262,drin,15
1263,ankam,15
1264,feil,15
1265,links,15
1266,strick,15
1267,aussah,15
1268,tanzte,15
1269,glänzend,15
1270,rechte,15
1271,zeihen,15
1272,köchin,15
1273,aufnehmen,15
1274,armut,15
1275,brauche,15
1276,boten,15
1277,wäre,15
1278,gleichfalls,15
1279,erden,15
1280,gieng,15
1281,jungfer,15
1282,hühnch,15
1283,köhler,15
1284,daumerling,15
1285,honig,15
1286,spieglein,15
1287,nixe,15
1288,stab,15
1289,gvatter,15
1290,rosenrot,15
1291,joseph,15
1292,sooft,14
1293,geradezu,14
1294,bringst,14
1295,gestern,14
1296,zweitenmal,14
1297,danachen,14
1298,nochmals,14
1299,maria,14
1300,hüte,14
1301,jammer,14
1302,gebüsch,14
1303,hauen,14
1304,anziehen,14
1305,wahrheit,14
1306,ausrichten,14
1307,setz,14
1308,schritt,14
1309,übernachten,14
1310,steckten,14
1311,daneben,14
1312,richten,14
1313,verdrießlich,14
1314,sarg,14
1315,deckel,14
1316,eimer,14
1317,haustür,14
1318,getreue,14
1319,sorge,14
1320,edelsteinen,14
1321,fünf,14
1322,kammerjungfer,14
1323,brust,14
1324,zuvor,14
1325,kühe,14
1326,obendrein,14
1327,ganzes,14
1328,verlangst,14
1329,kennen,14
1330,brüdern,14
1331,suche,14
1332,bereit,14
1333,gemein,14
1334,heide,14
1335,dunkel,14
1336,sobald,14
1337,kranken,14
1338,muß,14
1339,bedingung,14
1340,klar,14
1341,goldstücke,14
1342,flachs,14
1343,schürze,14
1344,täubchen,14
1345,erblickten,14
1346,gefahr,14
1347,arzt,14
1348,aufgabe,14
1349,wanderschaft,14
1350,stich,14
1351,siebene,14
1352,schaf,14
1353,ass,14
1354,begeben,14
1355,trank,14
1356,traum,14
1357,nunen,14
1358,sünder,14
1359,annehmen,14
1360,wiederkam,14
1361,wache,14
1362,teller,14
1363,kopfkissen,14
1364,schlaftrunk,14
1365,weis,14
1366,geschlagen,14
1367,marschall,14
1368,schulz,14
1369,unke,14
1370,rose,14
1371,wass,13
1372,warte,13
1373,winter,13
1374,name,13
1375,einziges,13
1376,türen,13
1377,jämmerlich,13
1378,zerriss,13
1379,Sobald,13
1380,gebar,13
1381,brennen,13
1382,gruselte,13
1383,seufzte,13
1384,wärmen,13
1385,nehmt,13
1386,wachen,13
1387,schrien,13
1388,hälfte,13
1389,verschwunden,13
1390,kasten,13
1391,floß,13
1392,tust,13
1393,kaumen,13
1394,nähte,13
1395,erschrock,13
1396,horchte,13
1397,schlafkammer,13
1398,wuchsen,13
1399,spaß,13
1400,brächte,13
1401,brummte,13
1402,munde,13
1403,weges,13
1404,link,13
1405,häsch,13
1406,wut,13
1407,jammern,13
1408,gebären,13
1409,reissen,13
1410,verzehrt,13
1411,verwünschte,13
1412,halsband,13
1413,behielt,13
1414,wusch,13
1415,mußte,13
1416,handvoll,13
1417,tal,13
1418,fiel,13
1419,verlieren,13
1420,mut,13
1421,kraft,13
1422,jen,13
1423,baume,13
1424,brauchst,13
1425,gelb,13
1426,volk,13
1427,vermögen,13
1428,läge,13
1429,lag,13
1430,fürchte,13
1431,denen,13
1432,dachten,13
1433,prächtig,13
1434,linken,13
1435,dunkelheit,13
1436,büchse,13
1437,wetter,13
1438,mitleid,13
1439,kriegst,13
1440,gekommen,13
1441,antwortet,13
1442,haustüre,13
1443,gang,13
1444,haaren,13
1445,versteckt,13
1446,scharf,13
1447,beinen,13
1448,stiegen,13
1449,mütterchen,13
1450,einlassen,13
1451,eule,13
1452,größer,13
1453,roland,13
1454,katherliesch,13
1455,rute,13
1456,ebenso,13
1457,sachen,13
1458,zaunkönig,13
1459,liebst,12
1460,erbarmen,12
1461,dicken,12
1462,kalt,12
1463,pferden,12
1464,schmerz,12
1465,dachte,12
1466,trock,12
1467,willigte,12
1468,gehört,12
1469,gehorchte,12
1470,vierzehn,12
1471,unglücklich,12
1472,fing,12
1473,zwölfe,12
1474,verborgen,12
1475,hats,12
1476,rührte,12
1477,nüsse,12
